temporada;jornada;equip1;equip2;codi1;codi2;punts1;posicio1;pg1;pe1;pp1;avgf1;avgc1;punts2;posicio2;pg2;pe2;pp2;avgf2;avgc2;difposition;resultat
Temporada 2004-05;9;Deportivo;Albacete;Temporada 2004-059Deportivo;Temporada 2004-059Albacete;13;10;0,333333333;0,444444444;0,222222222;1,111111111;1,444444444;9;17;0,222222222;0,333333333;0,444444444;0,777777778;1,111111111;-7;0
Temporada 2004-05;9;Osasuna;Levante;Temporada 2004-059Osasuna;Temporada 2004-059Levante;13;9;0,444444444;0,111111111;0,444444444;1,333333333;1,555555556;16;5;0,555555556;0,111111111;0,333333333;1,555555556;1,333333333;4;2
Temporada 2004-05;9;Espanyol;Villarreal;Temporada 2004-059Espanyol;Temporada 2004-059Villarreal;14;7;0,444444444;0,222222222;0,333333333;1;0,555555556;11;12;0,222222222;0,555555556;0,222222222;1;0,555555556;-5;0
Temporada 2004-05;9;Numancia;R. Sociedad;Temporada 2004-059Numancia;Temporada 2004-059R. Sociedad;5;20;0,111111111;0,222222222;0,666666667;0,444444444;1,777777778;11;14;0,333333333;0,222222222;0,444444444;1;1,111111111;6;2
Temporada 2004-05;9;Valencia;Atletico;Temporada 2004-059Valencia;Temporada 2004-059Atletico;15;6;0,444444444;0,333333333;0,222222222;1,888888889;1,111111111;14;8;0,444444444;0,222222222;0,333333333;1;0,666666667;-2;0
Temporada 2004-05;9;Athletic;Barcelona;Temporada 2004-059Athletic;Temporada 2004-059Barcelona;9;16;0,222222222;0,333333333;0,444444444;1,111111111;1,444444444;23;1;0,777777778;0,222222222;0;2;0,444444444;15;0
Temporada 2004-05;10;Malaga;R. Madrid;Temporada 2004-0510Malaga;Temporada 2004-0510R. Madrid;12;13;0,3;0,3;0,4;1;1;19;2;0,6;0,1;0,3;1;0,5;11;2
Temporada 2004-05;10;Atletico;Zaragoza;Temporada 2004-0510Atletico;Temporada 2004-0510Zaragoza;15;8;0,4;0,3;0,3;1;0,7;17;6;0,5;0,2;0,3;1,8;1,6;2;0
Temporada 2004-05;10;R. Sociedad;Espanyol;Temporada 2004-0510R. Sociedad;Temporada 2004-0510Espanyol;11;15;0,3;0,2;0,5;0,9;1,2;17;5;0,5;0,2;0,3;1,1;0,5;10;2
Temporada 2004-05;10;Villarreal;Osasuna;Temporada 2004-0510Villarreal;Temporada 2004-0510Osasuna;14;9;0,3;0,5;0,2;1,2;0,5;13;12;0,4;0,1;0,5;1,2;1,7;-3;1
Temporada 2004-05;10;Getafe;Valencia;Temporada 2004-0510Getafe;Temporada 2004-0510Valencia;9;18;0,3;0;0,7;0,9;1,5;15;7;0,4;0,3;0,3;1,7;1,1;11;1
Temporada 2004-05;10;Levante;Athletic;Temporada 2004-0510Levante;Temporada 2004-0510Athletic;19;3;0,6;0,1;0,3;1,5;1,2;9;17;0,2;0,3;0,5;1;1,4;-14;1
Temporada 2004-05;10;Sevilla;Mallorca;Temporada 2004-0510Sevilla;Temporada 2004-0510Mallorca;18;4;0,5;0,3;0,2;1,1;0,9;6;19;0,1;0,3;0,6;0,8;1,5;-15;0
Temporada 2004-05;10;Racing;Numancia;Temporada 2004-0510Racing;Temporada 2004-0510Numancia;14;10;0,4;0,2;0,4;0,8;1;5;20;0,1;0,2;0,7;0,4;1,8;-10;1
Temporada 2004-05;10;Albacete;Betis;Temporada 2004-0510Albacete;Temporada 2004-0510Betis;10;16;0,2;0,4;0,4;0,7;1;12;14;0,2;0,6;0,2;1,2;1,3;2;0
Temporada 2004-05;10;Barcelona;Deportivo;Temporada 2004-0510Barcelona;Temporada 2004-0510Deportivo;26;1;0,8;0,2;0;2;0,5;13;11;0,3;0,4;0,3;1,1;1,5;-10;1
Temporada 2004-05;11;Betis;Barcelona;Temporada 2004-0511Betis;Temporada 2004-0511Barcelona;15;11;0,272727273;0,545454545;0,181818182;1,272727273;1,272727273;26;1;0,727272727;0,181818182;0,090909091;1,909090909;0,636363636;10;1
Temporada 2004-05;11;R. Madrid;Albacete;Temporada 2004-0511R. Madrid;Temporada 2004-0511Albacete;22;2;0,636363636;0,090909091;0,272727273;1,454545455;0,545454545;10;18;0,181818182;0,363636364;0,454545455;0,727272727;1,454545455;-16;1
Temporada 2004-05;11;Mallorca;Atletico;Temporada 2004-0511Mallorca;Temporada 2004-0511Atletico;7;20;0,090909091;0,363636364;0,545454545;0,818181818;1,454545455;16;8;0,363636364;0,363636364;0,272727273;1;0,727272727;12;0
Temporada 2004-05;11;Numancia;Sevilla;Temporada 2004-0511Numancia;Temporada 2004-0511Sevilla;8;19;0,181818182;0,181818182;0,636363636;0,545454545;1,727272727;18;6;0,454545455;0,272727273;0,272727273;1,090909091;1;13;1
Temporada 2004-05;11;Getafe;Malaga;Temporada 2004-0511Getafe;Temporada 2004-0511Malaga;12;16;0,363636364;0;0,636363636;0,909090909;1,363636364;12;14;0,272727273;0,272727273;0,454545455;0,909090909;1;2;1
Temporada 2004-05;11;Espanyol;Racing;Temporada 2004-0511Espanyol;Temporada 2004-0511Racing;20;3;0,545454545;0,181818182;0,272727273;1,181818182;0,545454545;14;13;0,363636364;0,181818182;0,454545455;0,818181818;1,090909091;-10;1
Temporada 2004-05;11;Athletic;Villarreal;Temporada 2004-0511Athletic;Temporada 2004-0511Villarreal;12;15;0,272727273;0,272727273;0,454545455;1,090909091;1,363636364;14;12;0,272727273;0,454545455;0,272727273;1,181818182;0,636363636;3;1
Temporada 2004-05;11;Osasuna;R. Sociedad;Temporada 2004-0511Osasuna;Temporada 2004-0511R. Sociedad;16;10;0,454545455;0,090909091;0,454545455;1,181818182;1,545454545;11;17;0,272727273;0,181818182;0,545454545;0,818181818;1,181818182;-7;1
Temporada 2004-05;12;R. Sociedad;Athletic;Temporada 2004-0512R. Sociedad;Temporada 2004-0512Athletic;14;14;0,333333333;0,166666667;0,5;1;1,25;12;17;0,25;0,25;0,5;1,166666667;1,5;-3;1
Temporada 2004-05;12;Atletico;Numancia;Temporada 2004-0512Atletico;Temporada 2004-0512Numancia;19;6;0,416666667;0,333333333;0,25;1,083333333;0,666666667;8;20;0,166666667;0,166666667;0,666666667;0,5;1,75;-14;1
Temporada 2004-05;12;Albacete;Getafe;Temporada 2004-0512Albacete;Temporada 2004-0512Getafe;11;18;0,166666667;0,416666667;0,416666667;0,75;1,416666667;13;15;0,333333333;0,083333333;0,583333333;0,916666667;1,333333333;3;0
Temporada 2004-05;12;Zaragoza;Mallorca;Temporada 2004-0512Zaragoza;Temporada 2004-0512Mallorca;18;9;0,416666667;0,25;0,333333333;1,5;1,416666667;10;19;0,166666667;0,333333333;0,5;0,833333333;1,333333333;-10;2
