temporada;jornada;equip1;equip2;codi1;codi2;punts1;posicio1;pg1;pe1;pp1;avgf1;avgc1;punts2;posicio2;pg2;pe2;pp2;avgf2;avgc2;difposition;resultat
Temporada 2000-01;3;Las Palmas;Valladolid;Temporada 2000-013Las Palmas;Temporada 2000-013Valladolid;2;17;0;0,666666667;0,333333333;1;2;5;8;0,333333333;0,666666667;0;1,333333333;0,666666667;9;0
Temporada 2000-01;3;Barcelona;Racing;Temporada 2000-013Barcelona;Temporada 2000-013Racing;6;5;0,666666667;0;0,333333333;2;1,666666667;1;19;0;0,333333333;0,666666667;1;2,666666667;-14;1
Temporada 2000-01;3;Mallorca;Malaga;Temporada 2000-013Mallorca;Temporada 2000-013Malaga;1;20;0;0,333333333;0,666666667;0,333333333;2;4;10;0,333333333;0,333333333;0,333333333;1,666666667;1,666666667;10;2
Temporada 2000-01;3;Numancia;Valencia;Temporada 2000-013Numancia;Temporada 2000-013Valencia;3;14;0,333333333;0;0,666666667;0,333333333;1,666666667;6;4;0,666666667;0;0,333333333;2,666666667;0,666666667;10;2
Temporada 2000-01;3;R. Sociedad;Deportivo;Temporada 2000-013R. Sociedad;Temporada 2000-013Deportivo;2;16;0;0,666666667;0,333333333;1,333333333;2,333333333;7;2;0,666666667;0,333333333;0;2;0,333333333;14;0
Temporada 2000-01;3;Villarreal;Oviedo;Temporada 2000-013Villarreal;Temporada 2000-013Oviedo;6;6;0,666666667;0;0,333333333;1;1,666666667;1;18;0;0,333333333;0,666666667;0,666666667;1,333333333;-12;1
Temporada 2000-01;3;Zaragoza;Alaves;Temporada 2000-013Zaragoza;Temporada 2000-013Alaves;2;15;0;0,666666667;0,333333333;1;1,333333333;4;9;0,333333333;0,333333333;0,333333333;1,666666667;1;6;0
Temporada 2000-01;3;Osasuna;Rayo;Temporada 2000-013Osasuna;Temporada 2000-013Rayo;4;11;0,333333333;0,333333333;0,333333333;1,333333333;1,666666667;5;7;0,333333333;0,666666667;0;2,333333333;1;4;0
Temporada 2000-01;3;Celta;Espanyol;Temporada 2000-013Celta;Temporada 2000-013Espanyol;9;1;1;0;0;2,333333333;0,333333333;3;12;0,333333333;0;0,666666667;1;1,333333333;-11;1
Temporada 2000-01;4;Valladolid;Villarreal;Temporada 2000-014Valladolid;Temporada 2000-014Villarreal;6;8;0,25;0,75;0;1;0,5;7;7;0,5;0,25;0,25;0,75;1,25;1;0
Temporada 2000-01;4;Racing;R. Madrid;Temporada 2000-014Racing;Temporada 2000-014R. Madrid;2;18;0;0,5;0,5;0,75;2;8;5;0,5;0,5;0;2,25;1,25;13;0
Temporada 2000-01;4;Athletic;Mallorca;Temporada 2000-014Athletic;Temporada 2000-014Mallorca;6;10;0,5;0;0,5;1,5;2;1;20;0;0,25;0,75;0,5;2;-10;1
Temporada 2000-01;4;Malaga;Numancia;Temporada 2000-014Malaga;Temporada 2000-014Numancia;4;13;0,25;0,25;0,5;1,5;2;6;11;0,5;0;0,5;1;1,5;2;2
Temporada 2000-01;4;Deportivo;Barcelona;Temporada 2000-014Deportivo;Temporada 2000-014Barcelona;10;1;0,75;0,25;0;2;0,25;6;9;0,5;0;0,5;1,5;1,75;-8;1
Temporada 2000-01;4;Valencia;Las Palmas;Temporada 2000-014Valencia;Temporada 2000-014Las Palmas;9;2;0,75;0;0,25;3,25;0,75;2;19;0;0,5;0,5;1;2,75;-17;1
Temporada 2000-01;4;Oviedo;Zaragoza;Temporada 2000-014Oviedo;Temporada 2000-014Zaragoza;4;12;0,25;0,25;0,5;1;1,25;2;16;0;0,5;0,5;1;1,5;-4;1
Temporada 2000-01;4;Alaves;Osasuna;Temporada 2000-014Alaves;Temporada 2000-014Osasuna;7;6;0,5;0,25;0,25;1,75;0,75;4;14;0,25;0,25;0,5;1;1,75;-8;1
Temporada 2000-01;4;Rayo;Celta;Temporada 2000-014Rayo;Temporada 2000-014Celta;8;4;0,5;0,5;0;2,5;0,75;9;3;0,75;0;0,25;1,75;1;1;1
Temporada 2000-01;5;Villarreal;Valencia;Temporada 2000-015Villarreal;Temporada 2000-015Valencia;8;8;0,4;0,4;0,2;0,8;1,2;10;2;0,6;0,2;0,2;2,8;0,8;6;0
Temporada 2000-01;5;Mallorca;Racing;Temporada 2000-015Mallorca;Temporada 2000-015Racing;4;17;0,2;0,2;0,6;0,8;1,8;2;19;0;0,4;0,6;0,8;2;-2;1
Temporada 2000-01;5;R. Madrid;Deportivo;Temporada 2000-015R. Madrid;Temporada 2000-015Deportivo;11;1;0,6;0,4;0;2,4;1;10;3;0,6;0,2;0,2;1,6;0,8;-2;1
Temporada 2000-01;5;Numancia;Athletic;Temporada 2000-015Numancia;Temporada 2000-015Athletic;7;11;0,4;0,2;0,4;0,8;1,2;7;10;0,4;0,2;0,4;1,2;1,6;1;0
Temporada 2000-01;5;Las Palmas;Malaga;Temporada 2000-015Las Palmas;Temporada 2000-015Malaga;5;14;0,2;0,4;0,4;1,2;2,4;4;16;0,2;0,2;0,6;1,4;2;-2;1
Temporada 2000-01;5;Zaragoza;Valladolid;Temporada 2000-015Zaragoza;Temporada 2000-015Valladolid;3;18;0;0,6;0,4;0,8;1,2;7;9;0,2;0,8;0;0,8;0,4;9;0
Temporada 2000-01;5;Osasuna;Oviedo;Temporada 2000-015Osasuna;Temporada 2000-015Oviedo;5;13;0,2;0,4;0,4;0,8;1,4;5;12;0,2;0,4;0,4;0,8;1;1;0
Temporada 2000-01;5;Celta;Alaves;Temporada 2000-015Celta;Temporada 2000-015Alaves;10;4;0,6;0,2;0,2;1,6;1;8;7;0,4;0,4;0,2;1,6;0,8;-3;0
Temporada 2000-01;6;Valencia;Zaragoza;Temporada 2000-016Valencia;Temporada 2000-016Zaragoza;13;1;0,666666667;0,166666667;0,166666667;2,5;0,666666667;3;20;0;0,5;0,5;0,666666667;1,166666667;-19;1
Temporada 2000-01;6;Deportivo;Mallorca;Temporada 2000-016Deportivo;Temporada 2000-016Mallorca;11;6;0,5;0,333333333;0,166666667;1,5;0,833333333;5;17;0,166666667;0,333333333;0,5;0,833333333;1,666666667;-11;0
Temporada 2000-01;6;Racing;Numancia;Temporada 2000-016Racing;Temporada 2000-016Numancia;5;16;0,166666667;0,333333333;0,5;1,333333333;2;7;13;0,333333333;0,166666667;0,5;1;1,666666667;3;1
Temporada 2000-01;6;Athletic;Las Palmas;Temporada 2000-016Athletic;Temporada 2000-016Las Palmas;7;14;0,333333333;0,166666667;0,5;1;1,833333333;8;10;0,333333333;0,333333333;0,333333333;1,5;2;4;2
Temporada 2000-01;6;Malaga;Villarreal;Temporada 2000-016Malaga;Temporada 2000-016Villarreal;7;12;0,333333333;0,166666667;0,5;1,5;1,833333333;8;11;0,333333333;0,333333333;0,333333333;0,833333333;1,333333333;1;1
Temporada 2000-01;6;Barcelona;R. Madrid;Temporada 2000-016Barcelona;Temporada 2000-016R. Madrid;12;3;0,666666667;0;0,333333333;2,333333333;1,166666667;11;4;0,5;0,333333333;0,166666667;2;1,166666667;-1;1
Temporada 2000-01;6;Valladolid;Osasuna;Temporada 2000-016Valladolid;Temporada 2000-016Osasuna;8;8;0,166666667;0,833333333;0;0,833333333;0,5;6;15;0,166666667;0,5;0,333333333;0,833333333;1,333333333;-7;0
Temporada 2000-01;6;Oviedo;Celta;Temporada 2000-016Oviedo;Temporada 2000-016Celta;8;9;0,333333333;0,333333333;0,333333333;1,166666667;1;10;7;0,5;0,166666667;0,333333333;1,5;1,333333333;2;1
Temporada 2000-01;6;Alaves;Espanyol;Temporada 2000-016Alaves;Temporada 2000-016Espanyol;11;5;0,5;0,333333333;0,166666667;1,5;0,666666667;4;19;0,166666667;0,166666667;0,666666667;0,666666667;1,166666667;-14;1
Temporada 2000-01;6;Rayo;R. Sociedad;Temporada 2000-016Rayo;Temporada 2000-016R. Sociedad;12;2;0,5;0,5;0;2,333333333;0,666666667;5;18;0,166666667;0,333333333;0,5;1,166666667;3;-16;1
Temporada 2000-01;7;Zaragoza;Malaga;Temporada 2000-017Zaragoza;Temporada 2000-017Malaga;4;20;0;0,571428571;0,428571429;0,714285714;1,142857143;8;12;0,285714286;0,285714286;0,428571429;1,428571429;1,714285714;8;0
Temporada 2000-01;7;Mallorca;Barcelona;Temporada 2000-017Mallorca;Temporada 2000-017Barcelona;8;13;0,285714286;0,285714286;0,428571429;1;1,428571429;12;7;0,571428571;0;0,428571429;2;1,285714286;6;1
Temporada 2000-01;7;Numancia;Deportivo;Temporada 2000-017Numancia;Temporada 2000-017Deportivo;7;16;0,285714286;0,142857143;0,571428571;1;1,714285714;14;4;0,571428571;0,285714286;0,142857143;1,571428571;0,857142857;12;2
Temporada 2000-01;7;Las Palmas;Racing;Temporada 2000-017Las Palmas;Temporada 2000-017Racing;11;8;0,428571429;0,285714286;0,285714286;1,571428571;1,857142857;5;18;0,142857143;0,285714286;0,571428571;1,285714286;2;-10;1
Temporada 2000-01;7;Villarreal;Athletic;Temporada 2000-017Villarreal;Temporada 2000-017Athletic;9;9;0,285714286;0,428571429;0,285714286;0,714285714;1,142857143;8;14;0,285714286;0,285714286;0,428571429;0,857142857;1,571428571;-5;0
Temporada 2000-01;7;Osasuna;Valencia;Temporada 2000-017Osasuna;Temporada 2000-017Valencia;6;17;0,142857143;0,428571429;0,428571429;0,857142857;1,428571429;16;1;0,714285714;0,142857143;0,142857143;2,428571429;0,714285714;16;2
Temporada 2000-01;7;Celta;Valladolid;Temporada 2000-017Celta;Temporada 2000-017Valladolid;13;5;0,571428571;0,142857143;0,285714286;1,571428571;1,285714286;8;10;0,142857143;0,714285714;0,142857143;0,857142857;0,714285714;-5;1
Temporada 2000-01;7;Espanyol;Oviedo;Temporada 2000-017Espanyol;Temporada 2000-017Oviedo;7;15;0,285714286;0,142857143;0,571428571;0,857142857;1;8;11;0,285714286;0,285714286;0,428571429;1;1,142857143;4;1
Temporada 2000-01;7;Rayo;Alaves;Temporada 2000-017Rayo;Temporada 2000-017Alaves;12;6;0,428571429;0,428571429;0,142857143;2;0,714285714;14;3;0,571428571;0,285714286;0,142857143;1,428571429;0,571428571;3;2
Temporada 2000-01;7;R. Sociedad;R. Madrid;Temporada 2000-017R. Sociedad;Temporada 2000-017R. Madrid;5;19;0,142857143;0,285714286;0,571428571;1,142857143;3,142857143;14;2;0,571428571;0,285714286;0,142857143;2,285714286;1,142857143;17;2
Temporada 2000-01;8;Malaga;Osasuna;Temporada 2000-018Malaga;Temporada 2000-018Osasuna;11;9;0,375;0,25;0,375;1,625;1,625;6;20;0,125;0,375;0,5;0,875;1,625;-11;1
Temporada 2000-01;8;Deportivo;Las Palmas;Temporada 2000-018Deportivo;Temporada 2000-018Las Palmas;17;2;0,625;0,25;0,125;1,875;0,75;11;11;0,375;0,25;0,375;1,375;2,125;-9;1
Temporada 2000-01;8;Racing;Villarreal;Temporada 2000-018Racing;Temporada 2000-018Villarreal;8;15;0,25;0,25;0,5;1,5;1,875;9;13;0,25;0,375;0,375;0,75;1,375;2;1
Temporada 2000-01;8;Athletic;Zaragoza;Temporada 2000-018Athletic;Temporada 2000-018Zaragoza;8;17;0,25;0,25;0,5;0,875;1,625;7;19;0,125;0,5;0,375;0,875;1,125;-2;2
Temporada 2000-01;8;R. Madrid;Mallorca;Temporada 2000-018R. Madrid;Temporada 2000-018Mallorca;14;3;0,5;0,25;0,25;2;1,25;11;10;0,375;0,25;0,375;1,125;1,25;-7;2
Temporada 2000-01;8;Valencia;Celta;Temporada 2000-018Valencia;Temporada 2000-018Celta;19;1;0,75;0,125;0,125;2,25;0,625;13;6;0,5;0,125;0,375;1,375;1,25;-5;1
Temporada 2000-01;8;Valladolid;Espanyol;Temporada 2000-018Valladolid;Temporada 2000-018Espanyol;9;12;0,125;0,75;0,125;0,875;0,75;8;14;0,25;0,25;0,5;0,875;1;-2;0
Temporada 2000-01;8;Oviedo;Rayo;Temporada 2000-018Oviedo;Temporada 2000-018Rayo;11;8;0,375;0,25;0,375;1,375;1,125;12;7;0,375;0,375;0,25;1,875;1,125;1;1
Temporada 2000-01;8;Alaves;R. Sociedad;Temporada 2000-018Alaves;Temporada 2000-018R. Sociedad;14;4;0,5;0,25;0,25;1,25;0,625;8;18;0,25;0,25;0,5;1,125;2,75;-14;2
Temporada 2000-01;9;Osasuna;Athletic;Temporada 2000-019Osasuna;Temporada 2000-019Athletic;7;20;0,111111111;0,444444444;0,444444444;0,888888889;1,555555556;9;17;0,222222222;0,333333333;0,444444444;0,888888889;1,555555556;3;0
Temporada 2000-01;9;Numancia;R. Madrid;Temporada 2000-019Numancia;Temporada 2000-019R. Madrid;11;13;0,333333333;0,222222222;0,444444444;1,222222222;1,555555556;14;7;0,444444444;0,222222222;0,333333333;1,888888889;1,444444444;6;1
Temporada 2000-01;9;Zaragoza;Racing;Temporada 2000-019Zaragoza;Temporada 2000-019Racing;10;15;0,222222222;0,444444444;0,333333333;1;1;8;18;0,222222222;0,222222222;0,555555556;1,333333333;1,888888889;-3;1
Temporada 2000-01;9;Villarreal;Deportivo;Temporada 2000-019Villarreal;Temporada 2000-019Deportivo;12;9;0,333333333;0,333333333;0,333333333;1;1,444444444;17;3;0,555555556;0,222222222;0,222222222;1,888888889;1;6;1
Temporada 2000-01;9;R. Sociedad;Mallorca;Temporada 2000-019R. Sociedad;Temporada 2000-019Mallorca;8;19;0,222222222;0,222222222;0,555555556;1;2,555555556;14;8;0,444444444;0,222222222;0,333333333;1,111111111;1,111111111;11;2
Temporada 2000-01;9;Celta;Malaga;Temporada 2000-019Celta;Temporada 2000-019Malaga;16;5;0,555555556;0,111111111;0,333333333;1,333333333;1,111111111;11;11;0,333333333;0,222222222;0,444444444;1,444444444;1,555555556;-6;1
Temporada 2000-01;9;Espanyol;Valencia;Temporada 2000-019Espanyol;Temporada 2000-019Valencia;11;10;0,333333333;0,222222222;0,444444444;0,888888889;0,888888889;19;1;0,666666667;0,111111111;0,222222222;2;0,666666667;9;1
Temporada 2000-01;9;Rayo;Valladolid;Temporada 2000-019Rayo;Temporada 2000-019Valladolid;15;6;0,444444444;0,333333333;0,222222222;1,888888889;1,111111111;9;16;0,111111111;0,666666667;0,222222222;0,888888889;0,888888889;-10;1
Temporada 2000-01;9;Alaves;Oviedo;Temporada 2000-019Alaves;Temporada 2000-019Oviedo;17;2;0,555555556;0,222222222;0,222222222;1,555555556;0,555555556;11;12;0,333333333;0,222222222;0,444444444;1,222222222;1,444444444;-10;1
Temporada 2000-01;9;Las Palmas;Barcelona;Temporada 2000-019Las Palmas;Temporada 2000-019Barcelona;11;14;0,333333333;0,222222222;0,444444444;1,222222222;2;16;4;0,555555556;0,111111111;0,333333333;1,777777778;1,111111111;10;2
Temporada 2000-01;10;Athletic;Celta;Temporada 2000-0110Athletic;Temporada 2000-0110Celta;12;14;0,3;0,3;0,4;1;1,5;16;8;0,5;0,1;0,4;1,3;1,2;6;1
Temporada 2000-01;10;R. Madrid;Las Palmas;Temporada 2000-0110R. Madrid;Temporada 2000-0110Las Palmas;17;3;0,5;0,2;0,3;2,2;1,4;11;16;0,3;0,2;0,5;1,2;2,3;-13;1
Temporada 2000-01;10;Deportivo;Zaragoza;Temporada 2000-0110Deportivo;Temporada 2000-0110Zaragoza;20;2;0,6;0,2;0,2;1,9;0,9;10;17;0,2;0,4;0,4;0,9;1,1;-15;1
Temporada 2000-01;10;Barcelona;Villarreal;Temporada 2000-0110Barcelona;Temporada 2000-0110Villarreal;16;7;0,5;0,1;0,4;1,7;1,2;15;9;0,4;0,3;0,3;1,1;1,4;-2;2
Temporada 2000-01;10;Mallorca;Numancia;Temporada 2000-0110Mallorca;Temporada 2000-0110Numancia;17;5;0,5;0,2;0,3;1,2;1,1;11;15;0,3;0,2;0,5;1,2;1,6;-10;1
Temporada 2000-01;10;Malaga;Espanyol;Temporada 2000-0110Malaga;Temporada 2000-0110Espanyol;12;13;0,3;0,3;0,4;1,3;1,4;12;12;0,3;0,3;0,4;0,8;0,8;1;0
Temporada 2000-01;10;Valencia;Rayo;Temporada 2000-0110Valencia;Temporada 2000-0110Rayo;20;1;0,6;0,2;0,2;2;0,8;16;6;0,4;0,4;0,2;1,9;1,2;-5;0
Temporada 2000-01;10;Oviedo;R. Sociedad;Temporada 2000-0110Oviedo;Temporada 2000-0110R. Sociedad;14;10;0,4;0,2;0,4;1,2;1,3;8;20;0,2;0,2;0,6;0,9;2,4;-10;1
Temporada 2000-01;10;Racing;Osasuna;Temporada 2000-0110Racing;Temporada 2000-0110Osasuna;9;18;0,2;0,3;0,5;1,2;1,7;8;19;0,1;0,5;0,4;0,8;1,4;-1;0
Temporada 2000-01;10;Valladolid;Alaves;Temporada 2000-0110Valladolid;Temporada 2000-0110Alaves;12;11;0,2;0,6;0,2;1;0,9;17;4;0,5;0,2;0,3;1,5;0,7;7;1
Temporada 2000-01;11;Celta;Racing;Temporada 2000-0111Celta;Temporada 2000-0111Racing;17;7;0,454545455;0,181818182;0,363636364;1,272727273;1,181818182;10;19;0,181818182;0,363636364;0,454545455;1,181818182;1,636363636;-12;0
Temporada 2000-01;11;Las Palmas;Mallorca;Temporada 2000-0111Las Palmas;Temporada 2000-0111Mallorca;14;12;0,363636364;0,181818182;0,454545455;1,181818182;2,090909091;17;8;0,454545455;0,181818182;0,363636364;1,090909091;1,090909091;4;1
Temporada 2000-01;11;Villarreal;R. Madrid;Temporada 2000-0111Villarreal;Temporada 2000-0111R. Madrid;15;11;0,363636364;0,272727273;0,363636364;1;1,363636364;20;3;0,545454545;0,181818182;0,272727273;2,090909091;1,272727273;8;2
Temporada 2000-01;11;Zaragoza;Barcelona;Temporada 2000-0111Zaragoza;Temporada 2000-0111Barcelona;13;13;0,272727273;0,363636364;0,363636364;1,090909091;1,090909091;16;9;0,454545455;0,090909091;0,454545455;1,636363636;1,363636364;4;1
Temporada 2000-01;11;Osasuna;Deportivo;Temporada 2000-0111Osasuna;Temporada 2000-0111Deportivo;9;20;0,090909091;0,545454545;0,363636364;0,818181818;1,363636364;21;2;0,545454545;0,272727273;0,181818182;1,818181818;0,909090909;18;0
Temporada 2000-01;11;R. Sociedad;Numancia;Temporada 2000-0111R. Sociedad;Temporada 2000-0111Numancia;11;18;0,272727273;0,181818182;0,545454545;1,181818182;2,272727273;11;17;0,272727273;0,181818182;0,545454545;1,181818182;1,818181818;1;1
Temporada 2000-01;11;Espanyol;Athletic;Temporada 2000-0111Espanyol;Temporada 2000-0111Athletic;15;10;0,363636364;0,272727273;0,363636364;0,909090909;0,818181818;12;16;0,272727273;0,272727273;0,454545455;1;1,545454545;-6;1
Temporada 2000-01;11;Rayo;Malaga;Temporada 2000-0111Rayo;Temporada 2000-0111Malaga;19;4;0,454545455;0,363636364;0,181818182;2,090909091;1,272727273;12;15;0,272727273;0,272727273;0,454545455;1,363636364;1,636363636;-11;1
Temporada 2000-01;11;Oviedo;Valladolid;Temporada 2000-0111Oviedo;Temporada 2000-0111Valladolid;17;6;0,454545455;0,181818182;0,363636364;1,454545455;1,272727273;12;14;0,181818182;0,545454545;0,272727273;1;1,181818182;-8;1
Temporada 2000-01;11;Alaves;Valencia;Temporada 2000-0111Alaves;Temporada 2000-0111Valencia;18;5;0,454545455;0,272727273;0,272727273;1,454545455;0,727272727;21;1;0,545454545;0,272727273;0,181818182;1,909090909;0,818181818;4;0
Temporada 2000-01;12;Racing;Espanyol;Temporada 2000-0112Racing;Temporada 2000-0112Espanyol;10;19;0,166666667;0,333333333;0,5;1,166666667;1,666666667;18;8;0,416666667;0,25;0,333333333;1;0,833333333;11;2
Temporada 2000-01;12;Mallorca;Villarreal;Temporada 2000-0112Mallorca;Temporada 2000-0112Villarreal;20;4;0,5;0,166666667;0,333333333;1,166666667;1,083333333;15;15;0,333333333;0,25;0,416666667;1;1,416666667;-11;1
Temporada 2000-01;12;Numancia;Las Palmas;Temporada 2000-0112Numancia;Temporada 2000-0112Las Palmas;11;17;0,25;0,166666667;0,583333333;1,083333333;1,75;17;11;0,416666667;0,166666667;0,416666667;1,166666667;1,916666667;6;2
Temporada 2000-01;12;Athletic;Rayo;Temporada 2000-0112Athletic;Temporada 2000-0112Rayo;15;14;0,333333333;0,25;0,416666667;1,25;1,583333333;19;5;0,416666667;0,333333333;0,25;2,083333333;1,5;9;1
Temporada 2000-01;12;Valencia;Oviedo;Temporada 2000-0112Valencia;Temporada 2000-0112Oviedo;24;1;0,583333333;0,25;0,166666667;1,916666667;0,75;17;9;0,416666667;0,166666667;0,416666667;1,333333333;1,333333333;-8;1
Temporada 2000-01;12;Barcelona;Osasuna;Temporada 2000-0112Barcelona;Temporada 2000-0112Osasuna;19;6;0,5;0,083333333;0,416666667;1,666666667;1,25;9;20;0,083333333;0,5;0,416666667;0,75;1,416666667;-14;1
Temporada 2000-01;12;Deportivo;Celta;Temporada 2000-0112Deportivo;Temporada 2000-0112Celta;24;2;0,583333333;0,25;0,166666667;1,75;0,833333333;17;10;0,416666667;0,166666667;0,416666667;1,166666667;1,166666667;-8;1
Temporada 2000-01;12;Valladolid;R. Sociedad;Temporada 2000-0112Valladolid;Temporada 2000-0112R. Sociedad;15;13;0,25;0,5;0,25;1,083333333;1,166666667;11;18;0,25;0,166666667;0,583333333;1,166666667;2,25;-5;1
Temporada 2000-01;13;Espanyol;Deportivo;Temporada 2000-0113Espanyol;Temporada 2000-0113Deportivo;18;10;0,384615385;0,230769231;0,384615385;0,923076923;0,923076923;27;1;0,615384615;0,230769231;0,153846154;1,769230769;0,769230769;9;2
Temporada 2000-01;13;Villarreal;Numancia;Temporada 2000-0113Villarreal;Temporada 2000-0113Numancia;16;13;0,307692308;0,307692308;0,384615385;0,923076923;1,307692308;12;17;0,230769231;0,230769231;0,538461538;1;1,615384615;-4;0
Temporada 2000-01;13;Celta;Barcelona;Temporada 2000-0113Celta;Temporada 2000-0113Barcelona;18;9;0,384615385;0,230769231;0,384615385;1,307692308;1,307692308;20;7;0,461538462;0,153846154;0,384615385;1,769230769;1,384615385;2;0
Temporada 2000-01;13;R. Sociedad;Las Palmas;Temporada 2000-0113R. Sociedad;Temporada 2000-0113Las Palmas;12;18;0,230769231;0,230769231;0,538461538;1,153846154;2,153846154;18;11;0,384615385;0,230769231;0,384615385;1,153846154;1,846153846;7;0
Temporada 2000-01;13;Rayo;Racing;Temporada 2000-0113Rayo;Temporada 2000-0113Racing;22;4;0,461538462;0,307692308;0,230769231;2,230769231;1,461538462;10;19;0,153846154;0,307692308;0,538461538;1,153846154;1,846153846;-15;1
Temporada 2000-01;13;Valladolid;Valencia;Temporada 2000-0113Valladolid;Temporada 2000-0113Valencia;16;12;0,230769231;0,538461538;0,230769231;1;1,076923077;25;2;0,538461538;0,307692308;0,153846154;1,769230769;0,692307692;10;0
Temporada 2000-01;13;Oviedo;Malaga;Temporada 2000-0113Oviedo;Temporada 2000-0113Malaga;20;8;0,461538462;0,153846154;0,384615385;1,461538462;1,384615385;15;14;0,307692308;0,230769231;0,461538462;1,538461538;1,692307692;-6;1
Temporada 2000-01;14;Deportivo;Rayo;Temporada 2000-0114Deportivo;Temporada 2000-0114Rayo;28;2;0,571428571;0,285714286;0,142857143;1,714285714;0,785714286;23;4;0,428571429;0,357142857;0,214285714;2,142857143;1,428571429;-2;0
Temporada 2000-01;14;Mallorca;Osasuna;Temporada 2000-0114Mallorca;Temporada 2000-0114Osasuna;22;6;0,428571429;0,285714286;0,285714286;1,142857143;1,071428571;10;20;0,071428571;0,5;0,428571429;0,857142857;1,5;-14;0
Temporada 2000-01;14;Barcelona;Espanyol;Temporada 2000-0114Barcelona;Temporada 2000-0114Espanyol;23;5;0,5;0,142857143;0,357142857;1,928571429;1,428571429;18;12;0,357142857;0,214285714;0,428571429;1;1,142857143;-7;1
Temporada 2000-01;14;Las Palmas;Villarreal;Temporada 2000-0114Las Palmas;Temporada 2000-0114Villarreal;18;14;0,357142857;0,214285714;0,428571429;1,142857143;2,071428571;19;9;0,357142857;0,285714286;0,357142857;1,214285714;1,285714286;5;2
Temporada 2000-01;14;Racing;Alaves;Temporada 2000-0114Racing;Temporada 2000-0114Alaves;13;17;0,214285714;0,285714286;0,5;1,214285714;1,785714286;21;7;0,428571429;0,214285714;0,357142857;1,428571429;1;10;1
Temporada 2000-01;14;Athletic;Oviedo;Temporada 2000-0114Athletic;Temporada 2000-0114Oviedo;18;11;0,357142857;0,214285714;0,428571429;1,428571429;1,5;20;8;0,428571429;0,142857143;0,428571429;1,357142857;1,571428571;3;1
Temporada 2000-01;14;Valencia;R. Sociedad;Temporada 2000-0114Valencia;Temporada 2000-0114R. Sociedad;28;1;0,571428571;0,285714286;0,142857143;1,785714286;0,642857143;12;19;0,214285714;0,214285714;0,571428571;1,071428571;2,142857143;-18;1
Temporada 2000-01;15;R. Sociedad;Villarreal;Temporada 2000-0115R. Sociedad;Temporada 2000-0115Villarreal;12;20;0,2;0,2;0,6;1;2,133333333;22;9;0,4;0,266666667;0,333333333;1,266666667;1,2;11;2
Temporada 2000-01;15;Alaves;Deportivo;Temporada 2000-0115Alaves;Temporada 2000-0115Deportivo;24;5;0,466666667;0,2;0,333333333;1,533333333;1;28;3;0,533333333;0,266666667;0,2;1,666666667;0,933333333;2;1
Temporada 2000-01;15;Oviedo;Racing;Temporada 2000-0115Oviedo;Temporada 2000-0115Racing;23;8;0,466666667;0,133333333;0,4;1,333333333;1,466666667;13;18;0,2;0,266666667;0,533333333;1,133333333;1,733333333;-10;1
Temporada 2000-01;15;Valladolid;Athletic;Temporada 2000-0115Valladolid;Temporada 2000-0115Athletic;17;16;0,2;0,533333333;0,266666667;0,933333333;1,133333333;19;10;0,333333333;0,266666667;0,4;1,333333333;1,4;6;0
Temporada 2000-01;15;Valencia;Malaga;Temporada 2000-0115Valencia;Temporada 2000-0115Malaga;31;1;0,6;0,266666667;0,133333333;1,8;0,6;18;13;0,333333333;0,2;0,466666667;1,533333333;1,666666667;-12;1
Temporada 2000-01;15;Osasuna;Numancia;Temporada 2000-0115Osasuna;Temporada 2000-0115Numancia;13;17;0,133333333;0,466666667;0,4;0,933333333;1,4;13;19;0,2;0,266666667;0,533333333;0,933333333;1,6;-2;1
Temporada 2000-01;15;Celta;Mallorca;Temporada 2000-0115Celta;Temporada 2000-0115Mallorca;19;11;0,333333333;0,266666667;0,4;1,266666667;1,466666667;23;7;0,4;0,333333333;0,266666667;1,2;1,133333333;4;0
Temporada 2000-01;16;Las Palmas;Osasuna;Temporada 2000-0116Las Palmas;Temporada 2000-0116Osasuna;21;11;0,375;0,1875;0,4375;1,25;2,125;13;19;0,125;0,4375;0,4375;1;1,5;-8;1
Temporada 2000-01;16;Barcelona;Alaves;Temporada 2000-0116Barcelona;Temporada 2000-0116Alaves;27;4;0,5;0,1875;0,3125;2;1,5;24;7;0,4375;0,1875;0,375;1,5625;1,125;-3;1
Temporada 2000-01;16;Numancia;Celta;Temporada 2000-0116Numancia;Temporada 2000-0116Celta;16;17;0,25;0,25;0,5;1,125;1,625;19;14;0,3125;0,25;0,4375;1,3125;1,625;3;1
Temporada 2000-01;16;Mallorca;Espanyol;Temporada 2000-0116Mallorca;Temporada 2000-0116Espanyol;26;5;0,4375;0,3125;0,25;1,3125;1,1875;18;16;0,3125;0,1875;0,5;1,0625;1,3125;-11;1
Temporada 2000-01;16;Racing;Valladolid;Temporada 2000-0116Racing;Temporada 2000-0116Valladolid;14;18;0,1875;0,3125;0,5;1,1875;1,75;18;15;0,1875;0,5625;0,25;1;1,1875;3;0
Temporada 2000-01;16;Deportivo;Oviedo;Temporada 2000-0116Deportivo;Temporada 2000-0116Oviedo;31;3;0,5625;0,25;0,1875;1,75;0,875;23;9;0,4375;0,125;0,4375;1,25;1,5625;-6;1
