corners1,fuerasDeJuego2,fuerasDeJuego1,faltasCometidas1,balonesRecuperados2,balonesPerdidos2,result2,faltasSancionadas2,faltasSancionadas1,result1,targetasRojas2,targetasRojas1,intervencionesPortero2,posesion1,rematesPuerta1,rematesPuerta2,season,faltasCometidas2,intervencionesPortero1,team1,team2,balonesRecuperados1,rematesEntreTresPalos2,penalties2,penalties1,rematesEntreTresPalos1,targetasAmarilas2,balonesPerdidos1,targetasAmarilas1,day,corners2
8,3,1,11,64,93,2,11,17,4,0,0,8,"51,19%",20,17,Temporada 2012-13,17,8,Valencia,Getafe,72,8,0,0,10,3,88,2,Jornada 17,7
6,5,0,13,65,105,0,13,12,1,0,0,5,"55,04%",12,4,Temporada 2012-13,12,2,Atlético,Celta,77,0,0,0,4,3,102,4,Jornada 17,4
3,2,0,10,71,96,1,10,20,2,0,0,5,"50,6%",12,14,Temporada 2012-13,20,6,R. Sociedad,Sevilla,78,6,0,0,4,5,94,2,Jornada 17,6
3,0,2,18,72,96,0,18,12,3,0,0,6,"64,98%",16,9,Temporada 2012-13,12,5,Rayo,Levante,66,3,0,0,7,3,98,3,Jornada 17,5
3,1,1,11,89,106,0,11,12,2,0,0,6,"39,62%",9,16,Temporada 2012-13,12,6,Espanyol,Deportivo,83,4,0,0,5,2,116,2,Jornada 17,11
1,1,2,18,61,77,0,18,13,2,0,0,2,"47,68%",6,13,Temporada 2012-13,13,10,Valencia,Atlético,63,3,0,0,2,4,87,5,Jornada 10,10
5,4,4,10,66,93,0,10,16,4,0,0,10,"51,61%",21,12,Temporada 2012-13,16,3,R. Madrid,Zaragoza,61,3,0,0,12,2,87,2,Jornada 10,4
6,4,2,12,64,89,2,12,13,1,0,0,5,"52,27%",11,5,Temporada 2012-13,13,6,Málaga,Rayo,55,2,0,0,4,5,93,2,Jornada 10,5
4,4,1,9,55,73,1,9,11,3,0,0,4,"68,95%",13,11,Temporada 2012-13,11,3,Barcelona,Celta,59,4,0,0,6,2,71,1,Jornada 10,5
2,1,0,11,81,96,1,11,20,2,0,0,1,"47,44%",9,16,Temporada 2012-13,20,8,Athletic,Sevilla,74,6,0,0,2,5,106,7,Jornada 11,7
7,2,0,20,67,105,0,20,13,2,0,0,7,"52,3%",14,9,Temporada 2012-13,13,4,Atlético,Getafe,81,3,0,0,4,4,95,2,Jornada 11,6
2,2,2,8,75,85,1,8,9,1,1,0,4,"55,3%",9,15,Temporada 2012-13,9,5,Valladolid,Valencia,65,5,0,0,4,0,94,0,Jornada 11,10
6,2,2,18,68,80,4,18,5,2,0,0,4,"27,46%",5,12,Temporada 2012-13,5,2,Mallorca,Barcelona,68,5,0,0,3,1,91,1,Jornada 11,6
