
corners1,fuerasDeJuego2,fuerasDeJuego1,faltasCometidas1,balonesRecuperados2,balonesPerdidos2,result2,faltasSancionadas2,faltasSancionadas1,result1,targetasRojas2,targetasRojas1,intervencionesPortero2,posesion1,rematesPuerta1,rematesPuerta2,season,faltasCometidas2,intervencionesPortero1,team1,team2,balonesRecuperados1,rematesEntreTresPalos2,penalties2,penalties1,rematesEntreTresPalos1,targetasAmarilas2,balonesPerdidos1,targetasAmarilas1,day,corners2
7,2,1,7,75,82,2,7,18,0,0,0,11,,12,13,Temporada 2012-13,18,2,Athletic,Zaragoza,52,4,0,0,4,3,97,1,Jornada 17,3
6,5,0,13,65,105,0,13,12,1,0,0,5,,12,4,Temporada 2012-13,12,2,Atlético,Celta,77,0,0,0,4,3,102,4,Jornada 17,4
6,5,2,9,82,102,2,9,12,3,0,0,5,,11,19,Temporada 2012-13,12,5,Málaga,R. Madrid,85,6,0,0,6,4,107,1,Jornada 17,7
8,3,1,11,64,93,2,11,17,4,0,0,8,,20,17,Temporada 2012-13,17,8,Valencia,Getafe,72,8,0,0,10,3,88,2,Jornada 17,7
3,0,2,18,72,96,0,18,12,3,0,0,6,,16,9,Temporada 2012-13,12,5,Rayo,Levante,66,3,0,0,7,3,98,3,Jornada 17,5
3,2,0,10,71,96,1,10,20,2,0,0,5,,12,14,Temporada 2012-13,20,6,R. Sociedad,Sevilla,78,6,0,0,4,5,94,2,Jornada 17,6
3,1,1,11,89,106,0,11,12,2,0,0,6,,9,16,Temporada 2012-13,12,6,Espanyol,Deportivo,83,4,0,0,5,2,116,2,Jornada 17,11
4,3,1,7,74,98,0,7,16,1,0,0,9,,10,14,Temporada 2012-13,16,6,Valladolid,Granada,70,1,0,0,5,4,103,1,Jornada 13,3
8,1,1,16,66,94,0,16,19,4,0,0,2,,22,5,Temporada 2012-13,19,1,Málaga,Valencia,61,1,0,0,7,7,95,2,Jornada 13,4
10,2,4,12,52,92,0,12,15,2,0,0,4,,16,9,Temporada 2012-13,15,8,Rayo,Mallorca,60,6,0,0,3,3,88,2,Jornada 13,1
9,5,0,10,94,120,0,10,16,0,0,0,5,,13,19,Temporada 2012-13,16,7,R. Sociedad,Osasuna,86,5,0,0,3,4,128,3,Jornada 13,4
,3,1,9,80,105,0,9,6,0,0,0,7,,19,8,Temporada 2012-13,6,6,Deportivo,Valladolid,76,3,0,0,4,0,94,2,Jornada 16,
11,4,1,10,80,100,2,10,14,2,0,0,11,,28,13,Temporada 2012-13,14,4,R. Madrid,Espanyol,71,4,0,0,11,4,95,2,Jornada 16,7
4,3,1,14,57,93,1,14,17,0,0,0,7,,8,7,Temporada 2012-13,17,5,Valencia,Rayo,60,2,0,0,3,5,85,2,Jornada 16,4
2,2,2,15,70,98,1,15,22,0,0,0,5,,12,9,Temporada 2012-13,22,3,Zaragoza,Levante,70,4,0,0,2,6,92,4,Jornada 16,3
9,1,2,15,50,70,1,15,16,4,0,0,2,,11,8,Temporada 2012-13,16,1,Barcelona,Atlético,49,2,0,0,6,1,73,1,Jornada 16,5
10,4,1,13,74,98,2,13,14,0,0,1,,,15,9,Temporada 2012-13,14,,Sevilla,Málaga,69,2,0,0,3,4,93,1,Jornada 16,7
5,7,4,12,81,117,1,12,16,1,1,0,6,,8,7,Temporada 2012-13,16,7,Getafe,Osasuna,77,3,0,0,2,3,116,4,Jornada 16,3
15,1,1,22,63,96,1,22,15,0,0,0,9,,17,11,Temporada 2012-13,15,4,Mallorca,Athletic,76,3,0,0,4,3,83,3,Jornada 16,3
9,5,2,27,72,92,0,27,5,0,0,0,5,,10,15,Temporada 2012-13,5,4,Granada,R. Sociedad,70,3,0,0,4,3,103,3,Jornada 16,4
8,1,0,10,67,79,0,10,13,4,0,0,6,,13,15,Temporada 2012-13,13,7,Levante,Mallorca,63,2,0,0,8,1,81,0,Jornada 15,5
7,4,2,16,75,103,0,16,20,1,0,0,4,,10,11,Temporada 2012-13,20,5,Athletic,Celta,75,1,0,0,1,3,99,3,Jornada 15,6
4,3,5,17,66,94,2,17,11,1,0,0,5,,10,13,Temporada 2012-13,11,6,Betis,Barcelona,70,9,0,0,4,2,91,3,Jornada 15,5
5,7,1,8,57,89,0,8,9,6,0,0,5,,14,9,Temporada 2012-13,9,4,Atlético,Deportivo,67,2,0,0,9,2,76,0,Jornada 15,7
